Entity,Name,Country,DAE,Type,Stage,BM,Size,Sector,# Approved,FA Financing
FYNSA,Finanzas Y Negocios Servicios Financieros Limitada,Chile,TRUE,National,Effectiveness,B.24,Medium,Private,0,0
FECO,Foreign Environmental Cooperation Center of the Ministry of Ecology and Environment of China (formerly Foreign Economic Cooperation Office),China,TRUE,National,Effectiveness,B.15,Small,Public,0,0
FondoAccion,Fondo para la Acción Ambiental y la Niñez,Colombia,TRUE,National,Effectiveness,B.21,Micro,Public,0,0
MFEM_COK,"Ministry of Finance and Economic Management, Cook Islands",Cook Islands,TRUE,National,Effectiveness,B.21,Small,Public,1,12512509
IICA,Instituto Interamericano de Cooperación para la Agricultura,Costa Rica,TRUE,Regional,Effectiveness,B.29,Small,Public,0,0
MoFEC,Ministry of Finance of the Federal Democratic Republic of Ethiopia,Ethiopia,TRUE,National,Effectiveness,B.12,Medium,Public,2,89997436
FDB,Fiji Development Bank,Fiji,TRUE,National,Effectiveness,B.18,Micro,Public,1,5000000
JSCTBC,JSC TBC Bank,Georgia,TRUE,National,Effectiveness,B.29,Medium,Private,0,0
Ecobank,Ecobank Ghana,Ghana,TRUE,National,Effectiveness,B.23,Medium,Private,1,16197530
IEISPL,Indo Enviro Integrated Solutions Private  Limited (formerly IL&FS Environmental Infrastructure and Services Limited),India,TRUE,National,Effectiveness,B.24,Small,Private,0,0
NABARD,National Bank for Agriculture and Rural Development (India),India,TRUE,National,Effectiveness,B.10,Large,Public,2,134357000
SIDBI,Small Industries Development Bank of India,India,TRUE,National,Effectiveness,B.17,Large,Public,2,240100000
Kemitraan,Kemitraan bagi Pembaruan Tata Pemerintahan (Partnership for Governance Reform) (Indonesia),Indonesia,TRUE,National,Effectiveness,B.27,Micro,Public,0,0
PTSMI,PT Sarana Multi Infrastruktur (Indonesia),Indonesia,TRUE,National,Effectiveness,B.15,Medium,Public,0,0
DBJ,Development Bank of Jamaica Limited,Jamaica,TRUE,National,Effectiveness,B.36,Large,Public,0,0
JSIF,Jamaica Social Investment Fund,Jamaica,TRUE,National,Effectiveness,B.31,Small,Public,0,0
NEMA,National Environment Management Authority of Kenya,Kenya,TRUE,National,Effectiveness,B.12,Micro,Public,1,9526603.26
ARIS,Community Development and Investment Agency of the Kyrgyz Republic,Kyrgyzstan,TRUE,National,Effectiveness,B.38,Small,Public,0,0
FMCN,Fondo Mexicano para la Conservación de la Naturaleza A.C.,Mexico,TRUE,National,Effectiveness,B.22,Small,Public,1,9000000
FSMDB,Federated States of Micronesia Development Bank,Micronesia (Federated States of),TRUE,National,Effectiveness,B.37,Micro,Public,0,0
TDBM,Trade and Development Bank Joint Stock Company,Mongolia,TRUE,National,Effectiveness,B.25,Medium,Private,0,0
XacBank,XacBank JSC (Mongolia),Mongolia,TRUE,National,Effectiveness,B.14,Small,Private,4,65304153
ADA_Morocco,Agency for Agricultural Development of Morocco,Morocco,TRUE,National,Effectiveness,B.12,Small,Public,1,39292600
AWB,Attijariwafa Bank,Morocco,TRUE,Regional,Effectiveness,B.22,Large,Private,0,0
CDG_Capital,CDG Capital S.A.,Morocco,TRUE,National,Effectiveness,B.17,Medium,Private,0,0
MASEN,Moroccan Agency for Sustainable Energy S.A.,Morocco,TRUE,National,Effectiveness,B.29,Large,Private,0,0
EIF,Environmental Investment Fund,Namibia,TRUE,National,Effectiveness,B.10,Micro,Public,4,37704000
AEPC,Alternative Energy Promotion Centre (Nepal),Nepal,TRUE,National,Effectiveness,B.22,Small,Public,1,21128224
NIMB,Nepal Investment Mega Bank Limited,Nepal,TRUE,National,Effectiveness,B.38,Medium,Private,0,0
NTNC,National Trust for Nature Conservation (Nepal),Nepal,TRUE,National,Effectiveness,B.27,Micro,Public,0,0
SPC,Pacific Community,New Caledonia,TRUE,Regional,Effectiveness,B.22,Small,Public,2,39916589
JSBank,JS Bank Limited (Pakistan),Pakistan,TRUE,National,Effectiveness,B.22,Medium,Private,1,10000000
NRSP,National Rural Support Programme (Pakistan),Pakistan,TRUE,National,Effectiveness,B.21,Small,Public,1,25000000
CIFI,"Corporación Interamericana para el Financiamiento de Infraestructura, S.A.",Panama,TRUE,Regional,Effectiveness,B.38,Medium,Private,0,0
FundacionAvina,Fundación Avina,Panama,TRUE,Regional,Effectiveness,B.15,Micro,Public,1,9388923
Profonanpe,Peruvian Trust Fund for National Parks and Protected Areas,Peru,TRUE,National,Effectiveness,B.09,Micro,Public,2,15212400
DBP,Development Bank of the Philippines,Philippines (the),TRUE,National,Effectiveness,B.29,Medium,Public,0,0
Landbank,Land Bank of the Philippines,Philippines (the),TRUE,National,Effectiveness,B.21,Medium,Public,1,9999042.27
KDB,Korea Development Bank,Republic of Korea (the),TRUE,National,Effectiveness,B.15,Medium,Public,3,264430050
KOICA,Korea International Cooperation Agency,Republic of Korea (the),TRUE,National,Effectiveness,B.29,Small,Public,0,0
MOE_Rwanda,Ministry of Environment (formerly Ministry of Natural Resources of Rwanda),Rwanda,TRUE,National,Effectiveness,B.10,Small,Public,3,99846649
SPREP,Secretariat of the Pacific Regional Environment Programme,Samoa,TRUE,Regional,Effectiveness,B.09,Medium,Public,1,22953000
CSE,Centre de Suivi Ecologique,Senegal,TRUE,National,Effectiveness,B.09,Micro,Public,2,17037176.04
LBA,La Banque Agricole (formerly Caisse Nationale de Credit Agricole du Senegal),Senegal,TRUE,National,Effectiveness,B.26,Small,Private,0,0
DBSA,Development Bank of Southern Africa,South Africa,TRUE,Regional,Effectiveness,B.12,Large,Public,3,390610000
SANBI,South African National Biodiversity Institute,South Africa,TRUE,National,Effectiveness,B.14,Small,Public,0,0
DFCCBank,DFCC Bank PLC,Sri Lanka,TRUE,National,Effectiveness,B.36,Medium,Private,0,0
CRDB,CRDB Bank Plc,Tanzania,TRUE,National,Effectiveness,B.24,Medium,Private,1,100000000
BOAD,Banque Ouest Africaine de Développement (West African Development Bank),Togo,TRUE,Regional,Effectiveness,B.14,Medium,Public,5,246808194.8
OSS,Sahara and Sahel Observatory,Tunisia,TRUE,Regional,Effectiveness,B.18,Micro,Public,2,19423832
MWE_UGA,"Ministry of Water and Environment, Uganda",Uganda,TRUE,National,Effectiveness,B.23,Small,Public,0,0
CND,Corporación Nacional para el Desarrollo,Uruguay,TRUE,National,Effectiveness,B.36,Small,Public,0,0
VDB,Vietnam Development Bank,Viet Nam,TRUE,National,Effectiveness,B.29,Small,Public,0,0
DBZ,Development Bank of Zambia,Zambia,TRUE,National,Effectiveness,B.29,Medium,Public,0,0
IDBZ,Infrastructure Development Bank of Zimbabwe,Zimbabwe,TRUE,National,Effectiveness,B.29,Small,Public,0,0
UCAR,Unidad Para el Cambio Rural,Argentina,TRUE,National,Execution,B.12,Small,Public,0,0
CDF,CARICOM Development Fund,Barbados,TRUE,Regional,Execution,B.37,Micro,Public,0,0
Bancoldex,Banco de Comercio Exterior de Colombia S.A.,Colombia,TRUE,National,Execution,B.38,Medium,Public,0,0
Findeter,Findeter,Colombia,TRUE,National,Execution,B.21,Small,Public,0,0
BCI,Bank of the Cook Islands,Cook Islands,TRUE,National,Execution,B.40,Micro,Public,0,0
FIRCA,Fonds Interprofessionnel pour la Recherche et le Conseil Agricoles,Cote d'Ivoire,TRUE,National,Execution,B.39,Small,Private,0,0
KCB,KCB Bank Kenya Limited,Kenya,TRUE,National,Execution,B.27,Medium,Private,0,0
Nafin,"Nacional Financiera, Sociedad
Nacional de Crédito, Institución de Banca de Desarrollo",Mexico,TRUE,National,Execution,B.29,Medium,Public,0,0
DBN_Nigeria,Development Bank of Nigeria Plc,Nigeria,TRUE,National,Execution,B.39,Medium,Public,0,0
CIIP,Center for Implementation of Investment Projects within the Committee for Environmental Protection under the government of the Republic of Tajikistan,Tajikistan,TRUE,National,Execution,B.39,Small,Public,0,0
ZANACO,Zambia National Commercial Bank PLC,Zambia,TRUE,National,Execution,B.34,Small,Private,0,0
China_CDM_Fund,China Clean Development Mechanism Fund Management Center,China,TRUE,National,Former AE,B.18,Medium,Public,0,0
